theta_w,theta_v,avg_regret,std_regret
0.01,0.01,0.5892423308422982,0.5266856647419835
0.01,0.02,0.5201108225710925,0.4410470689982523
0.01,0.05,0.358342398678207,0.2609222147498678
0.01,0.1,0.21639315150846664,0.14087023140151209
0.01,0.2,0.11818544065387196,0.08126462707259242
0.01,0.5,0.07595369634334573,0.0672763434186036
0.01,1.0,0.09079742761033574,0.09840594967087625
0.01,2.0,0.12755329686739994,0.13811050394825414
0.01,5.0,0.18543359548821056,0.18657355923543822
0.01,7.0,0.2059448466596241,0.201820114118376
0.01,10.0,0.2272182038054569,0.21669544671048122
0.02,0.01,0.49527406752496916,0.4616249008752445
0.02,0.02,0.44402369126230995,0.40250239282077716
0.02,0.05,0.31439757926602296,0.25130298112725213
0.02,0.1,0.19362894421484939,0.1327032379878858
0.02,0.2,0.10773182279022436,0.07423414326849889
0.02,0.5,0.07081089272889414,0.06103956174849852
0.02,1.0,0.08650022160236098,0.0927415215006573
0.02,2.0,0.12374951025998991,0.13372517830337544
0.02,5.0,0.1823169413541165,0.18380689783341994
0.02,7.0,0.2029526386936076,0.19944156858352027
0.02,10.0,0.224208190264641,0.21451370523796431
0.05,0.01,0.32424374022825087,0.3286015042157069
0.05,0.02,0.29900208675921275,0.30117627777569433
0.05,0.05,0.2268068623242855,0.21334159245263173
0.05,0.1,0.14915107698609875,0.11649268970207613
0.05,0.2,0.08749140626733691,0.062375697792096306
0.05,0.5,0.05906354859052804,0.04712260361430298
0.05,1.0,0.07541769899449746,0.07821902977110612
0.05,2.0,0.11337809045937672,0.12168943514810694
0.05,5.0,0.17381573159778246,0.17602965048656538
0.05,7.0,0.19492335481691073,0.1928318207143989
0.05,10.0,0.21630500378215742,0.20865262277627886
0.1,0.01,0.19205446717434133,0.19680414956981185
0.1,0.02,0.1824730048600182,0.18488115907919986
0.1,0.05,0.15046540110337997,0.1412796914442676
0.1,0.1,0.11044169115810382,0.09319318519027467
0.1,0.2,0.07082457860518225,0.05365231839461571
0.1,0.5,0.04715981148087597,0.033473420960472865
0.1,1.0,0.06142675787496894,0.06009133560429407
0.1,2.0,0.0988348901945695,0.10468945575683085
0.1,5.0,0.1615666322423667,0.16433933647531784
0.1,7.0,0.18358291320234663,0.18298407538696182
0.1,10.0,0.20552107854869173,0.20024885319035712
0.2,0.01,0.10192730448208721,0.0850714058349359
0.2,0.02,0.09956843299212834,0.08288191112585365
0.2,0.05,0.09137810557531142,0.07513057129789111
0.2,0.1,0.07774114856648232,0.06273364147811027
0.2,0.2,0.057673579616328956,0.04534855951581452
0.2,0.5,0.03706518180894259,0.024536170797518415
0.2,1.0,0.0441014030210043,0.03779280378048869
0.2,2.0,0.07700751907316568,0.07912368700511913
0.2,5.0,0.14143900495428643,0.14425610377615306
0.2,7.0,0.1651035637530714,0.16589249898959216
0.2,10.0,0.18851282860786142,0.18598563227172868
0.5,0.01,0.052047302949777816,0.03713327410603825
0.5,0.02,0.05183103463900605,0.03696054928107772
0.5,0.05,0.05124220217875591,0.03647730712202721
0.5,0.1,0.0499582341588998,0.03571402725943227
0.5,0.2,0.045886147051184045,0.03386871945674407
0.5,0.5,0.03177550150688907,0.024274403902524645
0.5,1.0,0.02708869109724754,0.01729282369388174
0.5,2.0,0.04280210364495695,0.03914321492755673
0.5,5.0,0.0999458182456954,0.10101770932019749
0.5,7.0,0.12567497326890742,0.12669707517994658
0.5,10.0,0.15241258953097098,0.15241717869617402
1.0,0.01,0.03840538423713498,0.026923170364832123
1.0,0.02,0.03842170960831159,0.026852938461424114
1.0,0.05,0.03863850650514867,0.026814530432443202
1.0,0.1,0.03882722275444202,0.027029390820486107
1.0,0.2,0.03819782139390566,0.027187819553936288
1.0,0.5,0.0312720721454432,0.02321911310960726
1.0,1.0,0.02277433482326645,0.01635102209670732
1.0,2.0,0.025030439064934025,0.017301320297645365
1.0,5.0,0.06180006345728473,0.06120110312440411
1.0,7.0,0.08551794347588602,0.08577693100413149
1.0,10.0,0.11313993497699315,0.11345520437072802
2.0,0.01,0.03244994657442064,0.02360541023420533
2.0,0.02,0.03252296455762591,0.023558861091117638
2.0,0.05,0.032854491233262825,0.02360438814878425
2.0,0.1,0.03306312078414966,0.023909570279869962
2.0,0.2,0.032832943596702836,0.024142177067678055
2.0,0.5,0.030331874441415243,0.022189976694746733
2.0,1.0,0.02503877864659386,0.019264683379532018
2.0,2.0,0.019433252359689433,0.01394357070622917
2.0,5.0,0.030596504366899736,0.02682078466602992
2.0,7.0,0.04487207747751033,0.043445996394301446
